DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2001,610,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2002,675,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2003,692,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2004,743,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2005,800,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2006,831,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2007,883,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2008,911,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2009,948,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2010,956,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
