DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2012,1251.242,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2013,1263.682,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2014,1321.868,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2015,1332.064,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2016,1399.205,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2017,1435.551,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2018,1481.633,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2019,1475.33,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2020,1616.893,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2021,1881.238,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: Regional | Central tendency measure: Median | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | CAD: Canadian Dollar,,2,,
